Khu_vuc,Thang,Gia_TB (tr/m2)
Hoang Mai,T7/25,68.3
Hoang Mai,T8/25,71.0
Hoang Mai,T9/25,72.4
Hoang Mai,T10/25,80.7
Hoang Mai,T11/25,83.8
Hoang Mai,T12/25,87.3
Hoang Mai,T1/26,87.3
Hoang Mai,T2/26,88.5
Hoang Mai,T3/26,87.3
Long Bien,T3/21,29.7
Long Bien,T4/21,31.1
Long Bien,T5/21,32.0
Long Bien,T6/21,31.2
Long Bien,T7/21,30.4
Long Bien,T8/21,31.0
Long Bien,T9/21,32.3
Long Bien,T10/21,31.2
Long Bien,T11/21,32.9
Long Bien,T12/21,34.6
Long Bien,T1/22,35.0
Long Bien,T2/22,34.7
Long Bien,T3/22,34.4
Long Bien,T4/22,34.7
Long Bien,T5/22,36.7
Long Bien,T6/22,38.1
Long Bien,T7/22,38.6
Long Bien,T8/22,39.0
Long Bien,T9/22,39.1
Long Bien,T10/22,39.1
Long Bien,T11/22,40.6
Long Bien,T12/22,37.7
Long Bien,T1/23,38.2
Long Bien,T2/23,36.7
Long Bien,T3/23,37.5
Long Bien,T4/23,37.7
Long Bien,T5/23,38.0
Long Bien,T6/23,37.6
Long Bien,T7/23,37.8
Long Bien,T8/23,37.7
Long Bien,T9/23,37.2
Long Bien,T10/23,37.9
Long Bien,T11/23,38.5
Long Bien,T12/23,39.2
Long Bien,T1/24,40.9
Long Bien,T2/24,44.0
Long Bien,T3/24,46.4
Long Bien,T4/24,46.6
Long Bien,T5/24,49.3
Long Bien,T6/24,48.5
Long Bien,T7/24,49.5
Long Bien,T8/24,54.1
Long Bien,T9/24,54.0
Long Bien,T10/24,55.2
Long Bien,T11/24,59.9
Long Bien,T12/24,60.4
Long Bien,T1/25,62.3
Long Bien,T2/25,59.5
Long Bien,T3/25,62.4
Long Bien,T4/25,63.7
Long Bien,T5/25,66.6
Long Bien,T6/25,67.8
Long Bien,T7/25,72.7
Long Bien,T8/25,74.4
Long Bien,T9/25,72.6
Long Bien,T10/25,77.1
Long Bien,T11/25,81.8
Long Bien,T12/25,86.9
Long Bien,T1/26,88.6
Long Bien,T2/26,88.7
Long Bien,T3/26,89.2
Me Linh,T3/21,N/A
Me Linh,T3/26,N/A
Nam Tu Liem,T3/21,35.0
Nam Tu Liem,T4/21,35.7
Nam Tu Liem,T5/21,34.2
Nam Tu Liem,T6/21,35.2
Nam Tu Liem,T7/21,34.7
Nam Tu Liem,T8/21,38.4
Nam Tu Liem,T9/21,36.6
Nam Tu Liem,T10/21,37.2
Nam Tu Liem,T11/21,37.2
Nam Tu Liem,T12/21,37.2
Nam Tu Liem,T1/22,37.4
Nam Tu Liem,T2/22,38.9
Nam Tu Liem,T3/22,39.1
Nam Tu Liem,T4/22,39.5
Nam Tu Liem,T5/22,40.4
Nam Tu Liem,T6/22,42.6
Nam Tu Liem,T7/22,41.7
Nam Tu Liem,T8/22,42.5
Nam Tu Liem,T9/22,42.3
Nam Tu Liem,T10/22,43.6
Nam Tu Liem,T11/22,44.3
Nam Tu Liem,T12/22,43.5
Nam Tu Liem,T1/23,42.6
Nam Tu Liem,T2/23,43.5
Nam Tu Liem,T3/23,43.2
Nam Tu Liem,T4/23,42.8
Nam Tu Liem,T5/23,43.5
Nam Tu Liem,T6/23,43.6
Nam Tu Liem,T7/23,43.9
Nam Tu Liem,T8/23,45.8
Nam Tu Liem,T9/23,45.9
Nam Tu Liem,T10/23,47.8
Nam Tu Liem,T11/23,48.6
Nam Tu Liem,T12/23,49.3
Nam Tu Liem,T1/24,49.7
Nam Tu Liem,T2/24,53.4
Nam Tu Liem,T3/24,55.5
Nam Tu Liem,T4/24,56.5
Nam Tu Liem,T5/24,56.7
Nam Tu Liem,T6/24,58.9
Nam Tu Liem,T7/24,60.0
Nam Tu Liem,T8/24,62.9
Nam Tu Liem,T9/24,63.8
Nam Tu Liem,T10/24,66.7
Nam Tu Liem,T11/24,68.5
Nam Tu Liem,T12/24,68.6
Nam Tu Liem,T1/25,69.9
Nam Tu Liem,T2/25,70.2
Nam Tu Liem,T3/25,70.9
Nam Tu Liem,T4/25,72.3
Nam Tu Liem,T5/25,74.4
Nam Tu Liem,T6/25,79.1
Nam Tu Liem,T7/25,80.4
Nam Tu Liem,T8/25,83.2
Nam Tu Liem,T9/25,87.2
Nam Tu Liem,T10/25,91.6
Nam Tu Liem,T11/25,95.9
Nam Tu Liem,T12/25,96.3
Nam Tu Liem,T1/26,95.5
Nam Tu Liem,T2/26,94.8
Nam Tu Liem,T3/26,95.7
Soc Son,T3/21,N/A
Soc Son,T3/26,N/A
Tay Ho,T3/21,49.0
Tay Ho,T4/21,47.2
Tay Ho,T5/21,47.0
Tay Ho,T6/21,48.2
